date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2019-01-06,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-01-13,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-01-20,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-01-27,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-02-03,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-02-10,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-02-17,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-02-24,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-03-03,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-03-10,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-03-17,19,False,0,80,0,0,0,55,-1,-1,0,-1,-1,-1,-1
2019-03-24,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-03-31,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-04-07,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-04-14,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-04-21,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-04-28,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-05-05,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-05-12,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-05-19,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-05-26,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-06-02,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-06-09,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
2019-06-16,0,False,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1
