date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2019-01-06,41,False,15,38,0,0,26,38,33,23,0,0,0,0,-1
2019-01-13,49,False,44,33,38,39,39,62,33,23,0,0,0,0,-1
2019-01-20,55,False,37,42,38,39,46,30,0,88,29,0,0,0,-1
2019-01-27,39,False,15,42,19,38,39,36,0,46,32,0,0,0,-1
2019-02-03,44,False,50,36,19,0,35,51,32,46,0,0,0,0,-1
2019-02-10,38,False,44,31,38,20,31,20,0,23,0,0,0,0,-1
2019-02-17,42,False,53,9,0,20,28,57,0,0,63,0,0,0,-1
2019-02-24,34,False,36,51,38,0,27,25,0,0,0,0,100,0,-1
2019-03-03,38,False,59,28,38,0,30,64,0,23,100,0,0,0,-1
2019-03-10,36,False,30,14,0,39,24,31,0,24,0,0,0,0,-1
2019-03-17,37,False,30,45,20,20,19,41,34,25,0,0,0,0,-1
2019-03-24,54,False,37,39,0,41,39,56,0,72,31,0,0,0,-1
2019-03-31,53,False,59,61,0,40,21,30,0,0,0,0,0,0,-1
2019-04-07,46,False,44,18,0,39,32,66,0,69,0,0,0,0,-1
2019-04-14,53,False,29,33,39,0,32,20,0,24,95,74,0,0,-1
2019-04-21,44,False,45,24,20,20,45,31,35,48,0,0,0,0,-1
2019-04-28,47,False,58,34,19,100,28,62,0,0,0,0,96,0,-1
2019-05-05,40,False,30,38,0,41,36,37,0,0,0,0,0,0,-1
2019-05-12,29,False,68,29,40,21,27,32,36,0,66,0,0,0,-1
2019-05-19,35,False,30,9,20,21,31,16,0,0,33,0,0,0,-1
2019-05-26,39,False,36,37,20,82,29,21,35,24,32,0,0,0,-1
2019-06-02,47,False,14,18,19,0,44,45,0,68,0,0,0,0,-1
2019-06-09,35,False,63,36,0,20,33,40,0,24,0,0,93,0,-1
2019-06-16,37,False,7,32,38,20,22,37,34,0,0,0,0,0,-1
2019-06-23,31,False,37,18,0,43,26,16,0,24,0,0,0,100,-1
2019-06-30,39,False,46,28,0,22,30,27,0,74,33,0,0,0,-1
2019-07-07,29,False,38,9,20,0,21,32,0,48,0,0,0,0,-1
2019-07-14,28,False,45,41,0,21,24,16,0,48,32,0,0,0,-1
2019-07-21,43,False,64,38,0,87,17,28,0,25,0,0,0,0,-1
2019-07-28,28,False,24,23,43,0,24,22,37,49,33,0,0,0,-1
2019-08-04,21,False,32,24,21,22,9,11,0,24,33,0,0,0,-1
2019-08-11,42,False,90,14,20,43,27,36,36,0,0,67,0,0,-1
2019-08-18,34,False,46,31,0,21,23,26,35,0,62,0,0,0,-1
2019-08-25,31,False,29,27,0,41,24,30,0,0,0,0,0,0,-1
2019-09-01,21,False,14,26,19,0,13,29,0,0,30,0,0,0,-1
2019-09-08,43,False,28,34,18,19,44,38,64,45,0,0,0,0,-1
2019-09-15,33,False,14,56,37,0,20,24,0,66,0,0,0,0,-1
2019-09-22,43,False,55,30,19,39,41,38,32,0,0,0,0,0,-1
2019-09-29,49,False,47,40,36,0,29,34,65,43,31,0,0,0,-1
2019-10-06,56,False,34,26,18,0,39,43,33,21,0,0,0,0,-1
2019-10-13,43,False,42,9,0,19,46,10,66,44,0,0,0,0,-1
2019-10-20,45,False,53,21,17,18,38,47,0,42,0,70,0,0,-1
2019-10-27,42,False,21,36,18,19,44,33,100,0,0,0,0,0,-1
2019-11-03,41,False,75,39,18,38,39,33,0,43,30,0,0,0,-1
