date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2019-01-06,66,False,66,71,71,43,60,58,45,55,28,53,16,15,30
2019-01-13,67,False,64,76,33,58,66,42,66,37,17,65,18,14,63
2019-01-20,58,False,52,59,53,52,51,58,74,46,33,44,0,30,35
2019-01-27,63,False,51,72,42,43,48,55,57,41,48,19,54,0,0
2019-02-03,64,False,57,65,56,45,66,42,47,49,33,54,35,0,31
2019-02-10,60,False,55,70,57,61,54,50,38,41,47,35,55,14,0
2019-02-17,66,False,50,67,72,49,60,44,66,50,52,39,17,0,95
2019-02-24,65,False,60,69,51,47,58,57,43,48,27,18,36,14,31
2019-03-03,68,False,54,71,58,39,68,46,53,52,55,47,19,0,94
2019-03-10,68,False,62,64,37,52,64,55,37,37,35,68,0,15,57
2019-03-17,63,False,63,83,51,59,53,38,60,66,28,49,53,50,29
2019-03-24,63,False,60,69,54,73,59,39,40,57,42,29,0,32,0
2019-03-31,71,False,63,71,51,57,61,56,54,68,48,38,33,30,0
2019-04-07,67,False,52,68,38,47,60,49,58,37,49,39,0,17,0
2019-04-14,60,False,55,56,39,33,54,37,32,51,37,28,0,0,28
2019-04-21,64,False,53,59,48,41,59,44,83,51,30,47,0,33,0
2019-04-28,66,False,50,74,52,48,68,52,61,51,43,67,18,0,30
2019-05-05,61,False,48,69,36,49,58,39,29,53,23,20,0,46,0
2019-05-12,62,False,55,73,48,49,60,49,29,41,35,48,35,0,64
2019-05-19,63,False,54,67,52,62,59,44,48,71,20,40,17,35,70
2019-05-26,60,False,51,65,48,50,49,38,19,66,48,38,49,0,29
2019-06-02,69,False,65,72,56,46,69,48,32,53,35,76,100,0,93
2019-06-09,62,False,59,70,52,67,58,60,51,48,32,29,17,0,31
2019-06-16,73,False,59,76,49,92,64,66,62,64,37,39,64,35,67
2019-06-23,82,False,67,85,58,71,70,73,39,59,47,27,16,0,36
2019-06-30,84,False,74,80,71,83,78,70,48,78,48,25,0,16,0
2019-07-07,84,False,84,85,64,64,76,71,44,70,76,59,47,16,0
2019-07-14,84,False,74,90,70,72,77,76,78,78,63,18,65,35,0
2019-07-21,82,False,76,87,71,87,81,81,64,63,56,36,33,31,35
2019-07-28,97,False,83,77,58,76,92,87,95,72,100,76,36,17,0
2019-08-04,92,False,66,90,75,67,78,77,64,94,55,48,17,35,37
2019-08-11,91,False,76,95,53,65,77,83,82,83,67,32,78,17,0
2019-08-18,82,False,69,88,52,50,77,62,63,76,50,68,33,35,0
2019-08-25,82,False,66,79,63,39,72,59,58,72,78,100,31,16,0
2019-09-01,73,False,57,65,53,57,73,60,41,73,53,81,16,15,0
2019-09-08,82,False,57,67,62,60,75,67,60,80,62,36,32,15,0
2019-09-15,79,False,63,78,64,53,75,61,65,86,36,50,17,14,0
2019-09-22,77,False,67,68,43,65,78,69,30,57,40,68,32,0,29
2019-09-29,79,False,59,73,55,55,75,76,49,75,50,62,15,66,0
2019-10-06,80,False,55,72,57,64,77,79,41,60,44,52,0,15,0
2019-10-13,73,False,56,69,43,45,74,60,59,69,34,18,0,0,31
2019-10-20,66,False,46,65,45,62,63,53,52,77,36,17,33,42,100
2019-10-27,67,False,52,58,56,50,67,56,54,54,39,53,17,16,0
