date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2019-01-06,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-27,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-03,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-17,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-03,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-17,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-31,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-07,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-14,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-21,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-28,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-05,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-26,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-02,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-09,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-16,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-23,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-14,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-21,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-04,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-11,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-18,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-25,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-08,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-15,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-22,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-29,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-06,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-13,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-20,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-27,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-03,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-17,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-08,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-15,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-22,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-29,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,False,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-02-16,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,False,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-01,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,False,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-03-22,0,False,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-29,0,False,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-04-05,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,False,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-28,0,False,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-07-05,0,False,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-07-12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,False,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-07-26,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-02,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,0,False,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-08-16,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-08-23,0,False,0,0,0,0,0,0,1,0,3,0,0,0,0
2020-08-30,0,False,0,0,1,0,0,0,0,0,2,0,0,0,0
2020-09-06,0,False,0,0,1,0,0,0,0,1,2,0,3,0,0
2020-09-13,0,False,0,0,1,0,0,0,0,1,6,1,3,0,4
2020-09-20,0,False,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-27,0,False,0,1,1,0,0,0,1,1,0,1,3,0,0
2020-10-04,1,False,0,1,1,0,0,0,1,1,0,1,0,0,0
2020-10-11,1,False,0,2,2,1,1,0,0,2,0,2,0,0,0
2020-10-18,1,False,0,3,2,1,1,0,0,2,1,1,0,0,0
2020-10-25,2,False,1,5,9,1,1,1,1,1,1,0,3,3,0
2020-11-01,100,False,100,100,100,100,100,100,100,100,100,100,100,100,100
2020-11-08,9,False,9,9,10,8,8,8,8,8,8,7,8,17,5
2020-11-15,1,False,2,1,2,1,1,1,2,1,2,1,3,0,0
2020-11-22,1,False,1,1,1,1,1,1,1,1,1,1,3,0,0
2020-11-29,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,0,False,0,0,1,0,0,0,0,0,1,0,0,0,0
2020-12-13,0,False,0,0,0,0,0,0,0,0,0,1,0,3,0
2020-12-20,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-01-03,1,False,0,1,0,1,0,0,0,0,0,1,0,0,0
2021-01-10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0
2021-01-24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-07,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-14,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-21,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-14,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-21,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-28,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-04,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-11,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-18,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-25,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-02,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-09,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-16,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-23,0,False,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-05-30,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-13,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-20,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-27,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-04,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-11,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-18,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-25,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,0,False,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-09-05,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,0,False,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-09-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-26,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-03,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-17,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-14,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-21,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-05,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-26,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0
