date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2019-01-06,16,False,0,33,0,0,15,0,0,0,54,0,-1,-1,-1
2019-01-13,31,False,53,32,0,0,22,23,0,0,0,0,-1,-1,-1
2019-01-20,27,False,26,21,0,0,11,11,0,0,0,0,-1,-1,-1
2019-01-27,16,False,26,10,35,0,0,0,0,0,0,0,-1,-1,-1
2019-02-03,15,False,13,10,0,30,11,0,0,0,0,0,-1,-1,-1
2019-02-10,26,False,26,10,0,90,7,11,0,0,0,0,-1,-1,-1
2019-02-17,34,False,0,11,0,0,23,11,0,0,0,0,-1,-1,-1
2019-02-24,29,False,13,21,0,0,18,0,87,0,0,0,-1,-1,-1
2019-03-03,40,False,0,43,0,0,33,36,0,0,0,0,-1,-1,-1
2019-03-10,49,False,26,64,36,0,28,23,0,50,55,0,-1,-1,-1
2019-03-17,39,False,27,34,36,0,27,34,0,52,0,0,-1,-1,-1
2019-03-24,34,False,0,56,36,31,27,45,45,0,0,0,-1,-1,-1
2019-03-31,48,False,0,75,36,30,49,11,0,0,0,0,-1,-1,-1
2019-04-07,48,False,39,11,0,29,39,56,0,0,0,0,-1,-1,-1
2019-04-14,47,False,13,64,73,30,15,45,0,0,55,0,-1,-1,-1
2019-04-21,38,False,0,32,37,32,22,57,49,0,0,0,-1,-1,-1
2019-04-28,47,False,13,22,0,31,45,69,0,0,0,0,-1,-1,-1
2019-05-05,35,False,67,11,0,0,16,12,0,52,0,100,-1,-1,-1
2019-05-12,37,False,40,54,0,32,38,12,0,0,55,0,-1,-1,-1
2019-05-19,46,False,14,87,37,0,39,35,0,0,0,0,-1,-1,-1
2019-05-26,61,False,26,96,0,63,33,34,0,50,0,0,-1,-1,-1
2019-06-02,48,False,51,31,0,0,43,33,0,97,0,0,-1,-1,-1
2019-06-09,54,False,25,30,35,61,36,44,0,100,0,0,-1,-1,-1
2019-06-16,43,False,26,52,36,62,34,12,0,50,0,0,-1,-1,-1
2019-06-23,62,False,40,31,0,33,31,0,49,0,0,0,-1,-1,-1
2019-06-30,45,False,27,42,0,0,60,12,0,52,0,0,-1,-1,-1
2019-07-07,43,False,27,21,37,0,42,23,0,0,56,0,-1,-1,-1
2019-07-14,39,False,13,21,0,0,19,35,0,0,56,0,-1,-1,-1
2019-07-21,38,False,29,54,0,0,24,37,0,51,0,0,-1,-1,-1
2019-07-28,43,False,42,32,0,0,20,37,0,51,0,0,-1,-1,-1
2019-08-04,48,False,0,43,0,0,36,0,0,51,57,0,-1,-1,-1
2019-08-11,53,False,26,41,0,0,31,23,0,50,0,0,-1,-1,-1
2019-08-18,39,False,0,10,0,0,19,34,0,0,0,0,-1,-1,-1
2019-08-25,52,False,26,83,0,0,46,22,0,0,0,0,-1,-1,-1
2019-09-01,45,False,13,40,35,0,39,11,0,0,51,0,-1,-1,-1
2019-09-08,25,False,12,29,34,30,28,11,0,0,0,0,-1,-1,-1
2019-09-15,27,False,25,29,0,0,21,0,0,0,53,0,-1,-1,-1
2019-09-22,21,False,12,10,0,0,38,21,0,46,0,0,-1,-1,-1
2019-09-29,29,False,0,51,0,58,20,11,0,46,0,0,-1,-1,-1
2019-10-06,27,False,12,10,0,29,24,11,0,0,0,0,-1,-1,-1
2019-10-13,13,False,13,10,0,0,14,32,0,0,52,0,-1,-1,-1
2019-10-20,22,False,12,28,0,0,3,21,0,0,0,0,-1,-1,-1
2019-10-27,19,False,0,31,34,0,14,0,0,0,0,0,-1,-1,-1
2019-11-03,14,False,12,20,0,0,20,11,0,0,0,0,-1,-1,-1
2019-11-10,29,False,13,20,0,0,10,10,0,46,0,0,-1,-1,-1
2019-11-17,20,False,0,20,0,0,20,0,0,0,0,0,-1,-1,-1
2019-11-24,12,False,12,10,0,0,16,0,0,45,0,0,-1,-1,-1
2019-12-01,35,False,12,60,33,0,17,11,0,0,0,0,-1,-1,-1
2019-12-08,34,False,26,42,0,59,7,21,0,0,0,0,-1,-1,-1
2019-12-15,11,False,26,10,0,0,18,0,0,0,0,0,-1,-1,-1
2019-12-22,26,False,14,11,0,0,11,35,0,0,0,0,-1,-1,-1
2019-12-29,26,False,39,20,0,0,14,0,0,0,100,0,-1,-1,-1
2020-01-05,30,False,0,19,0,0,7,10,0,0,0,0,-1,-1,-1
2020-01-12,16,False,12,18,0,27,10,0,0,0,0,0,-1,-1,-1
2020-01-19,10,False,12,29,0,0,3,10,0,0,0,0,-1,-1,-1
2020-01-26,16,False,24,29,0,0,13,0,0,0,0,0,-1,-1,-1
2020-02-02,26,False,25,39,0,0,20,0,0,0,0,0,-1,-1,-1
2020-02-09,22,False,0,10,0,28,26,21,0,0,0,0,-1,-1,-1
2020-02-16,32,False,36,29,33,28,20,10,0,0,0,0,-1,-1,-1
2020-02-23,42,False,11,36,0,0,22,10,0,42,0,0,-1,-1,-1
2020-03-01,19,False,11,45,30,0,12,10,0,0,0,0,-1,-1,-1
2020-03-08,20,False,11,17,30,25,24,9,0,0,0,0,-1,-1,-1
2020-03-15,27,False,0,26,0,0,18,9,0,0,0,0,-1,-1,-1
2020-03-22,42,False,10,41,0,0,17,27,36,38,41,0,-1,-1,-1
2020-03-29,39,False,19,8,27,22,34,0,0,74,38,0,-1,-1,-1
2020-04-05,69,False,48,41,26,22,61,34,100,0,0,0,-1,-1,-1
2020-04-12,54,False,30,42,0,66,31,26,34,0,0,0,-1,-1,-1
2020-04-19,48,False,30,81,81,0,70,9,0,0,38,0,-1,-1,-1
2020-04-26,84,False,60,65,27,68,48,71,0,0,39,0,-1,-1,-1
2020-05-03,67,False,70,74,27,0,60,52,0,37,38,0,-1,-1,-1
2020-05-10,71,False,81,50,58,0,43,44,0,0,0,0,-1,-1,-1
2020-05-17,79,False,51,100,0,0,65,56,37,0,0,0,-1,-1,-1
2020-05-24,100,False,63,49,0,25,100,45,0,40,42,0,-1,-1,-1
2020-05-31,77,False,100,57,29,0,92,44,0,39,41,0,-1,-1,-1
2020-06-07,84,False,50,73,0,73,56,100,0,0,0,0,-1,-1,-1
2020-06-14,85,False,52,50,0,50,80,68,78,86,0,0,-1,-1,-1
