date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2019-01-06,26,False,30,22,26,12,14,30,32,0,0,0,0,0,0
2019-01-13,28,False,36,17,37,20,10,5,0,24,14,0,48,0,0
2019-01-20,21,False,25,20,17,4,14,14,0,0,13,0,49,0,0
2019-01-27,14,False,16,13,25,12,11,5,0,24,14,0,100,0,0
2019-02-03,17,False,22,8,14,4,7,24,62,12,0,0,0,0,0
2019-02-10,19,False,24,18,28,16,12,10,31,12,0,0,0,0,0
2019-02-17,26,False,30,13,23,12,12,19,64,0,0,100,0,0,0
2019-02-24,28,False,30,21,25,24,17,19,0,59,14,91,50,0,0
2019-03-03,29,False,30,19,17,28,20,10,32,24,60,0,0,31,0
2019-03-10,24,False,29,14,23,8,18,5,0,25,14,0,0,31,0
2019-03-17,24,False,24,24,23,24,14,15,0,0,14,0,0,68,0
2019-03-24,26,False,32,25,17,12,15,33,32,37,0,0,52,0,0
2019-03-31,28,False,32,14,11,20,14,24,33,12,0,0,0,31,0
2019-04-07,43,False,41,39,46,54,50,29,0,49,29,99,0,0,87
2019-04-14,100,False,100,100,100,100,100,100,100,100,100,0,98,32,89
2019-04-21,11,False,10,18,6,17,16,0,71,13,56,0,0,0,0
2019-04-28,3,False,4,4,3,0,2,0,0,0,15,0,0,0,0
2019-05-05,3,False,3,2,0,0,3,5,0,0,0,0,0,0,0
2019-05-12,3,False,2,5,0,4,3,5,0,0,0,0,0,0,0
2019-05-19,3,False,3,6,3,4,2,0,0,0,0,0,0,0,0
2019-05-26,3,False,3,4,3,8,3,0,0,0,0,0,0,0,0
2019-06-02,4,False,3,1,6,4,5,5,0,0,0,0,0,0,0
2019-06-09,3,False,3,1,3,8,2,0,0,0,0,0,0,0,0
2019-06-16,6,False,7,5,6,4,2,0,0,0,0,0,0,0,0
2019-06-23,8,False,7,12,15,9,5,0,0,0,0,0,0,0,0
2019-06-30,9,False,7,11,9,9,4,10,0,13,15,0,0,100,0
2019-07-07,5,False,4,5,6,0,5,0,0,13,0,0,0,0,0
2019-07-14,7,False,6,7,6,0,5,0,35,0,29,0,0,0,0
2019-07-21,6,False,9,4,3,9,8,0,0,38,0,0,0,0,0
2019-07-28,8,False,7,9,9,9,7,5,0,13,30,0,0,0,0
2019-08-04,5,False,4,3,6,0,3,10,0,13,0,0,0,0,0
2019-08-11,6,False,5,6,0,9,4,0,0,0,0,0,0,0,0
2019-08-18,4,False,5,3,3,0,3,5,35,12,14,0,0,0,0
2019-08-25,7,False,6,7,15,0,3,14,0,36,14,0,0,0,0
2019-09-01,6,False,8,5,6,4,2,5,0,0,0,0,0,0,0
2019-09-08,11,False,8,13,5,8,6,18,31,12,13,0,0,0,0
2019-09-15,15,False,16,13,14,0,8,41,0,12,14,0,46,0,0
2019-09-22,16,False,19,15,8,24,10,22,0,34,27,0,0,30,0
2019-09-29,18,False,21,19,19,0,11,27,0,45,0,0,0,0,0
2019-10-06,22,False,25,17,32,11,8,5,0,45,14,0,0,0,0
2019-10-13,17,False,23,19,36,12,9,37,0,12,14,0,41,0,0
2019-10-20,17,False,20,8,18,11,13,17,0,11,13,0,45,29,0
2019-10-27,14,False,18,16,24,12,14,31,33,12,14,89,0,0,0
2019-11-03,17,False,23,8,19,0,9,13,31,23,0,0,0,0,0
2019-11-10,16,False,20,12,11,11,14,9,0,11,26,0,0,0,0
2019-11-17,21,False,24,21,27,0,14,18,0,23,0,90,42,0,0
2019-11-24,28,False,27,38,18,15,37,48,30,33,26,0,41,30,0
2019-12-01,17,False,19,18,19,19,13,18,31,23,0,0,0,0,100
2019-12-08,24,False,30,20,24,8,12,5,33,35,41,0,0,0,0
2019-12-15,17,False,17,10,11,12,10,9,0,24,0,0,0,0,0
2019-12-22,17,False,18,12,15,0,4,15,0,0,14,96,0,0,0
2019-12-29,19,False,24,18,11,8,11,14,66,12,0,0,0,0,0
2020-01-05,19,False,22,16,21,7,8,9,30,11,0,0,0,0,0
2020-01-12,20,False,26,11,15,14,23,30,88,10,12,0,38,30,89
2020-01-19,10,False,12,10,8,8,8,9,0,0,13,0,0,0,0
2020-01-26,20,False,23,18,8,15,13,13,0,11,26,0,0,30,0
2020-02-02,21,False,28,26,3,19,9,17,0,0,12,0,0,29,0
2020-02-09,20,False,26,19,29,19,10,22,30,32,13,83,0,0,0
2020-02-16,21,False,26,13,35,22,12,4,59,0,12,0,0,0,85
2020-02-23,20,False,25,11,15,21,13,0,29,10,0,82,0,0,0
2020-03-01,21,False,24,19,34,7,10,9,84,20,0,0,41,0,0
2020-03-08,13,False,16,9,14,0,4,4,0,30,12,0,0,0,0
2020-03-15,4,False,4,2,4,3,4,8,0,0,11,0,0,0,0
2020-03-22,2,False,1,2,9,3,5,4,0,9,0,0,0,0,0
2020-03-29,2,False,2,3,0,0,2,4,0,0,0,0,0,0,0
2020-04-05,2,False,2,1,0,0,2,7,0,0,10,0,0,0,0
2020-04-12,2,False,2,1,2,3,2,4,0,0,0,0,0,0,0
2020-04-19,1,False,2,1,4,0,1,0,0,0,0,0,0,0,0
2020-04-26,2,False,2,3,0,0,4,0,26,0,10,0,0,0,83
2020-05-03,2,False,2,3,0,0,4,4,0,9,0,70,0,0,0
2020-05-10,1,False,2,2,2,0,2,7,0,0,0,0,0,0,0
