date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2019-01-06,25,False,75,0,0,0,21,0,-1,0,-1,-1,-1,-1,-1
2019-01-13,37,False,0,0,0,0,60,0,-1,0,-1,-1,-1,-1,-1
2019-01-20,48,False,72,0,0,50,0,0,-1,0,-1,-1,-1,-1,-1
2019-01-27,49,False,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-02-03,35,False,35,76,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-02-10,48,False,0,0,0,0,20,0,-1,0,-1,-1,-1,-1,-1
2019-02-17,50,False,74,39,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-02-24,61,False,36,39,0,0,100,0,-1,0,-1,-1,-1,-1,-1
2019-03-03,12,False,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-03-10,0,False,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-03-17,25,False,37,43,0,0,21,0,-1,0,-1,-1,-1,-1,-1
2019-03-24,25,False,37,0,0,52,63,0,-1,0,-1,-1,-1,-1,-1
2019-03-31,12,False,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-04-07,0,False,36,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-04-14,37,False,36,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-04-21,12,False,37,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-04-28,36,False,0,0,0,0,20,0,-1,0,-1,-1,-1,-1,-1
2019-05-05,76,False,0,0,0,0,21,79,-1,0,-1,-1,-1,-1,-1
2019-05-12,25,False,0,0,0,0,21,78,-1,0,-1,-1,-1,-1,-1
2019-05-19,13,False,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-05-26,24,False,0,0,0,52,40,0,-1,0,-1,-1,-1,-1,-1
2019-06-02,24,False,0,0,0,0,38,0,-1,0,-1,-1,-1,-1,-1
2019-06-09,0,False,0,0,0,0,39,0,-1,0,-1,-1,-1,-1,-1
2019-06-16,0,False,0,0,0,0,20,0,-1,0,-1,-1,-1,-1,-1
2019-06-23,25,False,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-06-30,13,False,0,79,0,0,22,0,-1,0,-1,-1,-1,-1,-1
2019-07-07,25,False,38,0,0,0,21,0,-1,0,-1,-1,-1,-1,-1
2019-07-14,38,False,37,0,0,0,21,0,-1,0,-1,-1,-1,-1,-1
2019-07-21,39,False,40,0,0,0,22,0,-1,0,-1,-1,-1,-1,-1
2019-07-28,13,False,0,40,0,0,22,0,-1,0,-1,-1,-1,-1,-1
2019-08-04,39,False,0,40,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2019-08-11,25,False,0,0,0,0,42,0,-1,0,-1,-1,-1,-1,-1
2019-08-18,25,False,0,0,0,0,0,76,-1,78,-1,-1,-1,-1,-1
2019-08-25,61,False,0,0,0,0,21,0,-1,0,-1,-1,-1,-1,-1
2019-09-01,12,False,35,0,0,0,19,0,-1,72,-1,-1,-1,-1,-1
2019-09-08,11,False,0,36,0,100,0,0,-1,0,-1,-1,-1,-1,-1
2019-09-15,34,False,69,0,0,0,19,0,-1,0,-1,-1,-1,-1,-1
2019-09-22,23,False,0,0,0,0,38,0,-1,0,-1,-1,-1,-1,-1
2019-09-29,45,False,0,75,0,0,18,0,-1,0,-1,-1,-1,-1,-1
2019-10-06,57,False,0,0,0,0,56,0,-1,0,-1,-1,-1,-1,-1
2019-10-13,57,False,0,0,0,0,38,0,-1,0,-1,-1,-1,-1,-1
2019-10-20,33,False,0,70,0,0,18,0,-1,0,-1,-1,-1,-1,-1
2019-10-27,11,False,0,0,0,0,19,0,-1,0,-1,-1,-1,-1,-1
2019-11-03,22,False,0,0,0,0,18,0,-1,0,-1,-1,-1,-1,-1
2019-11-10,33,False,0,0,95,0,18,0,-1,0,-1,-1,-1,-1,-1
2019-11-17,33,False,0,0,0,0,18,71,-1,0,-1,-1,-1,-1,-1
2019-11-24,45,False,0,36,0,0,36,70,-1,0,-1,-1,-1,-1,-1
2019-12-01,23,False,0,37,0,0,36,0,-1,75,-1,-1,-1,-1,-1
2019-12-08,34,False,0,78,0,0,19,0,-1,0,-1,-1,-1,-1,-1
2019-12-15,23,False,0,0,0,0,19,0,-1,0,-1,-1,-1,-1,-1
2019-12-22,13,False,0,0,0,0,21,0,-1,0,-1,-1,-1,-1,-1
2019-12-29,23,False,0,37,0,0,19,0,-1,0,-1,-1,-1,-1,-1
2020-01-05,33,False,0,71,0,0,71,0,-1,0,-1,-1,-1,-1,-1
2020-01-12,32,False,32,0,0,0,52,0,-1,0,-1,-1,-1,-1,-1
2020-01-19,45,False,34,0,0,0,18,70,-1,0,-1,-1,-1,-1,-1
2020-01-26,11,False,0,36,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2020-02-02,33,False,0,0,0,0,18,0,-1,0,-1,-1,-1,-1,-1
2020-02-09,33,False,67,0,0,0,17,0,-1,0,-1,-1,-1,-1,-1
2020-02-16,33,False,0,35,0,0,54,0,-1,0,-1,-1,-1,-1,-1
2020-02-23,21,False,0,0,0,0,17,0,-1,0,-1,-1,-1,-1,-1
2020-03-01,41,False,0,0,0,0,17,0,-1,0,-1,-1,-1,-1,-1
2020-03-08,30,False,30,32,0,0,33,0,-1,0,-1,-1,-1,-1,-1
2020-03-15,49,False,0,0,0,0,66,0,-1,0,-1,-1,-1,-1,-1
2020-03-22,19,False,28,30,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2020-03-29,46,False,53,30,0,0,30,0,-1,0,-1,-1,-1,-1,-1
2020-04-05,100,False,54,0,75,0,75,58,-1,0,-1,-1,-1,-1,-1
2020-04-12,46,False,27,93,0,0,45,0,-1,0,-1,-1,-1,-1,-1
2020-04-19,55,False,0,30,0,0,75,60,-1,0,-1,-1,-1,-1,-1
2020-04-26,28,False,28,30,0,0,46,0,-1,0,-1,-1,-1,-1,-1
2020-05-03,46,False,0,30,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2020-05-10,37,False,56,92,0,38,31,0,-1,0,-1,-1,-1,-1,-1
2020-05-17,29,False,0,0,0,0,0,0,-1,67,-1,-1,-1,-1,-1
2020-05-24,10,False,29,0,0,0,32,0,-1,0,-1,-1,-1,-1,-1
2020-05-31,37,False,0,0,81,0,74,0,-1,0,-1,-1,-1,-1,-1
2020-06-07,77,False,0,30,0,0,48,0,-1,0,-1,-1,-1,-1,-1
2020-06-14,0,False,0,0,0,0,33,0,-1,0,-1,-1,-1,-1,-1
2020-06-21,51,False,61,32,0,0,17,0,-1,71,-1,-1,-1,-1,-1
2020-06-28,21,False,0,32,0,0,0,0,-1,0,-1,-1,-1,-1,-1
2020-07-05,41,False,31,66,0,0,51,68,-1,0,-1,-1,-1,-1,-1
