date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2019-01-06,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-01-13,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-01-20,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-01-27,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-02-03,53,False,48,0,-1,-1,0,55,-1,-1,-1,-1,-1,-1,-1
2019-02-10,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-02-17,57,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-02-24,0,False,0,0,-1,-1,53,0,-1,-1,-1,-1,-1,-1,-1
2019-03-03,28,False,0,0,-1,-1,53,0,-1,-1,-1,-1,-1,-1,-1
2019-03-10,0,False,50,99,-1,-1,58,0,-1,-1,-1,-1,-1,-1,-1
2019-03-17,0,False,50,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-03-24,29,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-03-31,28,False,100,99,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-04-07,27,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-04-14,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-04-21,0,False,0,0,-1,-1,0,55,-1,-1,-1,-1,-1,-1,-1
2019-04-28,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-05-05,29,False,0,0,-1,-1,0,56,-1,-1,-1,-1,-1,-1,-1
2019-05-12,29,False,0,0,-1,-1,55,0,-1,-1,-1,-1,-1,-1,-1
2019-05-19,29,False,0,0,-1,-1,56,56,-1,-1,-1,-1,-1,-1,-1
2019-05-26,84,False,0,0,-1,-1,52,0,-1,-1,-1,-1,-1,-1,-1
2019-06-02,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-06-09,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-06-16,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-06-23,29,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-06-30,29,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-07-07,0,False,0,95,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-07-14,29,False,0,0,-1,-1,55,0,-1,-1,-1,-1,-1,-1,-1
2019-07-21,0,False,0,100,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-07-28,60,False,53,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-08-04,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-08-11,86,False,0,0,-1,-1,56,55,-1,-1,-1,-1,-1,-1,-1
2019-08-18,28,False,0,0,-1,-1,56,54,-1,-1,-1,-1,-1,-1,-1
2019-08-25,0,False,0,0,-1,-1,54,0,-1,-1,-1,-1,-1,-1,-1
2019-09-01,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-09-08,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-09-15,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2019-09-22,0,False,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
