Date,GEO,Hospitalizations
2020-03-09,Canada,4
2020-03-10,Canada,5
2020-03-11,Canada,5
2020-03-12,Canada,5
2020-03-13,Canada,7
2020-03-14,Canada,9
2020-03-15,Canada,9
2020-03-16,Canada,17
2020-03-17,Canada,22
2020-03-18,Canada,31
2020-03-19,Canada,42
2020-03-20,Canada,52
2020-03-21,Canada,68
2020-03-22,Canada,76
2020-03-23,Canada,103
2020-03-24,Canada,153
2020-03-25,Canada,176
2020-03-26,Canada,216
2020-03-27,Canada,260
2020-03-28,Canada,294
2020-03-29,Canada,329
2020-03-30,Canada,406
2020-03-31,Canada,482
2020-04-01,Canada,526
2020-04-02,Canada,993
2020-04-03,Canada,1129
2020-04-04,Canada,1216
2020-04-05,Canada,1272
2020-04-06,Canada,1351
2020-04-07,Canada,1430
2020-04-08,Canada,1467
2020-04-09,Canada,1538
2020-04-10,Canada,1629
2020-04-11,Canada,1696
2020-04-12,Canada,1792
2020-04-13,Canada,1872
2020-04-14,Canada,1936
2020-04-15,Canada,2006
2020-04-16,Canada,2048
2020-04-17,Canada,2131
2020-04-18,Canada,2182
2020-04-19,Canada,2132
2020-04-20,Canada,2188
2020-04-21,Canada,2305
2020-04-22,Canada,2369
2020-04-23,Canada,2517
2020-04-24,Canada,2582
2020-04-25,Canada,2649
2020-04-26,Canada,2676
2020-04-27,Canada,2713
2020-04-28,Canada,2807
2020-04-29,Canada,2847
2020-04-30,Canada,2903
2020-05-01,Canada,2953
2020-05-02,Canada,2926
2020-05-03,Canada,2974
2020-05-04,Canada,2969
2020-05-05,Canada,3078
2020-05-06,Canada,3083
2020-05-07,Canada,3078
2020-05-08,Canada,3070
2020-05-09,Canada,3054
2020-05-10,Canada,2987
2020-05-11,Canada,3057
2020-05-12,Canada,3056
2020-05-13,Canada,3079
2020-05-14,Canada,3041
2020-05-15,Canada,2975
2020-05-16,Canada,2899
2020-05-17,Canada,2856
2020-05-18,Canada,2896
2020-05-19,Canada,2678
2020-05-20,Canada,2654
2020-05-21,Canada,2637
2020-05-22,Canada,2585
