ObjectId,Date,Daily_Cases,Cumulative_Cases,Recoveries,Total_Recoveries,Deaths,Total_Deaths,New_ICU_Admissions,Current_ICU___Total,Current_ICU___Active,Cumulative_ICU_Admissions,New_IP_Admissions_Total,Current_Hospitalizations___Tota,Current_Hospitalizations___Acti,Cumulative_IP_Admissions,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,Cumulative_Tests
1,2020/03/10 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,341
2,2020/03/11 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,195,536
3,2020/03/12 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3,295,831
4,2020/03/13 05:00:00+00,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0.3,405,1236
5,2020/03/14 05:00:00+00,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0.3,333,1569
6,2020/03/15 05:00:00+00,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0.3,264,1833
7,2020/03/16 05:00:00+00,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0.3,404,2237
8,2020/03/17 05:00:00+00,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0.7,539,2776
9,2020/03/18 05:00:00+00,7,14,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0.9,448,3224
10,2020/03/19 05:00:00+00,1,15,0,0,0,0,0,0,0,0,1,1,1,3,1,14,1.1,262,3486
11,2020/03/20 05:00:00+00,1,16,0,0,0,0,0,0,0,0,1,1,1,4,1,15,1.1,177,3663
12,2020/03/21 05:00:00+00,0,16,0,0,0,0,0,0,0,0,0,1,1,4,1,15,1.3,267,3930
13,2020/03/22 05:00:00+00,1,17,0,0,0,0,0,0,0,0,1,1,1,5,1,16,0.9,261,4191
14,2020/03/23 05:00:00+00,3,20,1,1,0,0,0,0,0,0,1,0,0,6,0,19,1.1,277,4468
15,2020/03/24 05:00:00+00,1,21,0,1,0,0,0,0,0,0,0,0,0,6,0,20,0.7,350,4818
16,2020/03/25 05:00:00+00,6,27,2,3,0,0,1,1,1,1,0,1,1,6,0,23,1.6,723,5541
17,2020/03/26 05:00:00+00,9,36,1,4,1,1,0,0,0,1,1,0,0,7,0,31,2.5,613,6154
18,2020/03/27 05:00:00+00,27,63,2,6,0,1,1,1,1,2,1,2,2,8,1,54,2.5,905,7059
19,2020/03/28 05:00:00+00,10,73,3,9,0,1,0,1,1,2,1,2,2,9,1,61,2.6,207,7266
20,2020/03/29 05:00:00+00,23,96,1,10,0,1,0,1,1,2,0,4,4,9,3,81,2.4,1194,8460
21,2020/03/30 05:00:00+00,9,105,3,13,0,1,0,1,1,2,1,3,3,10,2,88,2.6,375,8835
22,2020/03/31 05:00:00+00,27,132,4,17,0,1,2,3,3,4,1,4,4,11,1,110,1.9,1095,9930
23,2020/04/01 05:00:00+00,33,165,4,21,0,1,1,4,4,5,2,6,6,13,2,137,2.4,1269,11199
24,2020/04/02 05:00:00+00,16,181,4,25,1,2,2,5,5,7,1,9,9,14,4,145,2.4,623,11822
25,2020/04/03 05:00:00+00,10,191,12,37,0,2,1,6,6,8,2,10,10,16,4,142,2.7,619,12441
26,2020/04/04 05:00:00+00,11,202,1,38,0,2,0,6,6,8,1,10,10,17,4,152,2.3,479,12920
27,2020/04/05 05:00:00+00,1,203,4,42,0,2,1,7,7,9,1,10,10,18,3,149,2.5,457,13377
28,2020/04/06 05:00:00+00,13,216,31,73,1,3,1,6,6,10,0,11,11,18,5,129,1.9,781,14158
29,2020/04/07 05:00:00+00,3,219,25,98,0,3,0,6,6,10,1,11,11,19,5,107,1.4,559,14717
30,2020/04/08 05:00:00+00,2,221,18,116,0,3,0,5,5,10,2,11,11,21,6,91,1.1,548,15265
31,2020/04/09 05:00:00+00,6,227,13,129,1,4,0,5,5,10,0,10,10,21,5,84,1,1067,16332
32,2020/04/10 05:00:00+00,12,239,11,140,0,4,1,5,5,11,0,8,8,21,3,87,1.2,171,16503
33,2020/04/11 05:00:00+00,0,239,3,143,0,4,0,4,4,11,0,8,8,21,4,84,0.7,821,17324
34,2020/04/12 05:00:00+00,2,241,6,149,0,4,0,4,4,11,0,8,8,21,4,80,0.8,32,17356
35,2020/04/13 05:00:00+00,0,241,7,156,0,4,0,4,4,11,1,9,9,22,5,72,0.8,355,17711
36,2020/04/14 05:00:00+00,3,244,16,172,1,5,0,4,4,11,0,9,9,22,5,58,0.9,316,18027
37,2020/04/15 05:00:00+00,4,248,10,182,0,5,0,4,4,11,1,8,8,23,4,53,0.5,462,18489
38,2020/04/16 05:00:00+00,1,249,11,193,0,5,0,4,4,11,1,8,8,24,4,43,0.8,501,18990
39,2020/04/17 05:00:00+00,5,254,11,204,0,5,0,4,4,11,0,7,7,24,3,38,0.7,336,19326
40,2020/04/18 05:00:00+00,2,256,1,205,0,5,1,5,5,12,0,8,8,24,3,38,0.6,591,19917
41,2020/04/19 05:00:00+00,1,257,0,205,0,5,0,5,5,12,0,8,8,24,3,39,0.4,254,20171
42,2020/04/20 05:00:00+00,1,258,7,212,1,6,0,4,4,12,1,7,7,25,3,33,0.4,302,20473
43,2020/04/21 05:00:00+00,0,258,9,221,0,6,0,4,4,12,0,7,7,25,3,24,0.5,434,20907
44,2020/04/22 05:00:00+00,3,261,7,228,0,6,0,3,3,12,1,7,7,26,4,20,0.4,324,21231
45,2020/04/23 05:00:00+00,2,263,1,229,0,6,0,3,3,12,0,6,6,26,3,22,0.6,779,22010
46,2020/04/24 05:00:00+00,3,266,6,235,0,6,0,2,2,12,0,6,6,26,4,19,0.7,595,22605
47,2020/04/25 05:00:00+00,4,270,1,236,0,6,1,2,2,13,0,7,7,26,5,21,0.7,406,23011
48,2020/04/26 05:00:00+00,1,271,0,236,0,6,0,2,2,13,1,7,7,27,5,22,0.4,372,23383
49,2020/04/27 05:00:00+00,2,273,1,237,0,6,0,2,2,13,0,6,6,27,4,24,0.5,315,23698
50,2020/04/28 05:00:00+00,0,273,6,243,0,6,0,0,0,13,0,6,6,27,6,18,0.5,345,24043
51,2020/04/29 05:00:00+00,1,274,2,245,0,6,0,0,0,13,0,5,5,27,5,18,0.4,512,24555
52,2020/04/30 05:00:00+00,4,278,2,247,0,6,0,0,0,13,0,5,5,27,5,20,0.5,673,25228
53,2020/05/01 05:00:00+00,1,279,2,249,0,6,0,0,0,13,0,6,6,27,6,18,0.4,679,25907
54,2020/05/02 05:00:00+00,1,280,0,249,0,6,0,0,0,13,0,5,5,27,5,20,0.4,711,26618
55,2020/05/03 05:00:00+00,0,280,1,250,0,6,0,0,0,13,1,5,5,28,5,19,0.3,627,27245
56,2020/05/04 05:00:00+00,1,281,3,253,1,7,0,0,0,13,0,4,4,28,4,17,0.3,332,27577
57,2020/05/05 05:00:00+00,2,283,1,254,0,7,0,0,0,13,1,5,5,29,5,17,0.2,513,28090
58,2020/05/06 05:00:00+00,0,283,4,258,0,7,0,0,0,13,0,5,5,29,5,13,0.3,523,28613
59,2020/05/07 05:00:00+00,1,284,1,259,0,7,0,0,0,13,1,5,5,30,5,13,0.2,439,29052
60,2020/05/08 05:00:00+00,1,285,2,261,0,7,0,0,0,13,0,4,4,30,4,13,0.2,669,29721
61,2020/05/09 05:00:00+00,2,287,1,262,0,7,0,0,0,13,1,4,4,31,4,14,0.2,698,30419
62,2020/05/10 05:00:00+00,2,289,0,262,0,7,1,1,1,14,0,4,4,31,3,16,0.3,310,30729
63,2020/05/11 05:00:00+00,0,289,2,264,0,7,0,1,1,14,0,4,4,31,3,14,0.2,505,31234
64,2020/05/12 05:00:00+00,0,289,1,265,0,7,0,1,1,14,0,4,4,31,3,13,0.2,521,31755
65,2020/05/13 05:00:00+00,0,289,2,267,0,7,0,1,1,14,0,4,4,31,3,11,0.2,297,32052
66,2020/05/14 05:00:00+00,0,289,1,268,0,7,0,1,1,14,0,3,3,31,2,11,0.1,747,32799
67,2020/05/15 05:00:00+00,0,289,3,271,0,7,0,1,1,14,0,3,2,31,1,9,0,976,33775
68,2020/05/16 05:00:00+00,0,289,0,271,0,7,0,1,1,14,1,3,2,32,1,9,0,764,34539
69,2020/05/17 05:00:00+00,1,290,2,273,0,7,0,0,0,14,0,2,1,32,1,9,0.1,485,35024
70,2020/05/18 05:00:00+00,0,290,0,273,0,7,0,0,0,14,0,2,1,32,1,9,0.1,376,35400
71,2020/05/19 05:00:00+00,0,290,1,274,0,7,0,0,0,14,1,2,1,33,1,8,0.1,245,35645
72,2020/05/20 05:00:00+00,0,290,5,279,0,7,0,0,0,14,0,2,1,33,1,3,0.1,572,36217
73,2020/05/21 05:00:00+00,2,292,0,279,0,7,0,0,0,14,0,2,1,33,1,5,0.1,817,37034
74,2020/05/22 05:00:00+00,0,292,1,280,0,7,0,0,0,14,0,1,0,33,0,5,0.1,577,37611
75,2020/05/23 05:00:00+00,0,292,0,280,0,7,0,0,0,14,0,1,0,33,0,5,0.1,771,38382
76,2020/05/24 05:00:00+00,0,292,0,280,0,7,0,0,0,14,0,1,0,33,0,5,0.1,408,38790
77,2020/05/25 05:00:00+00,0,292,1,281,0,7,0,0,0,14,0,1,0,33,0,4,0.1,355,39145
78,2020/05/26 05:00:00+00,2,294,0,281,0,7,0,0,0,14,0,1,0,33,0,6,0.1,990,40135
79,2020/05/27 05:00:00+00,0,294,0,281,0,7,0,0,0,14,0,1,0,33,0,6,0.1,679,40814
80,2020/05/28 05:00:00+00,0,294,0,281,0,7,0,0,0,14,0,1,0,33,0,6,0.1,1315,42129
81,2020/05/29 05:00:00+00,0,294,0,281,0,7,0,0,0,14,0,1,0,33,0,6,0.1,702,42831
82,2020/05/30 05:00:00+00,1,295,0,281,0,7,0,0,0,14,0,1,0,33,0,7,0.1,779,43610
83,2020/05/31 05:00:00+00,0,295,0,281,0,7,0,0,0,14,0,1,0,33,0,7,0,808,44418
84,2020/06/01 05:00:00+00,3,298,0,281,0,7,0,0,0,14,0,1,0,33,0,10,0.1,378,44796
85,2020/06/02 05:00:00+00,0,298,2,283,0,7,0,0,0,14,0,1,0,33,0,8,0.1,827,45623
86,2020/06/03 05:00:00+00,2,300,0,283,0,7,0,0,0,14,0,1,0,33,0,10,0.2,870,46493
87,2020/06/04 05:00:00+00,0,300,0,283,0,7,0,0,0,14,1,1,0,34,0,10,0.2,624,47117
88,2020/06/05 05:00:00+00,0,300,0,283,0,7,0,0,0,14,0,1,0,34,0,10,0.2,621,47738
89,2020/06/06 05:00:00+00,0,300,0,283,0,7,0,0,0,14,1,0,0,35,0,10,0.1,1144,48882
90,2020/06/07 05:00:00+00,0,300,0,283,0,7,0,0,0,14,0,0,0,35,0,10,0.1,474,49356
91,2020/06/08 05:00:00+00,0,300,3,286,0,7,0,0,0,14,0,0,0,35,0,7,0,489,49845
92,2020/06/09 05:00:00+00,0,300,0,286,0,7,0,0,0,14,0,0,0,35,0,7,0,621,50466
93,2020/06/10 05:00:00+00,0,300,0,286,0,7,0,0,0,14,1,0,0,36,0,7,0,623,51089
94,2020/06/11 05:00:00+00,1,301,1,287,0,7,0,0,0,14,0,0,0,36,0,7,0.1,837,51926
95,2020/06/12 05:00:00+00,2,303,0,287,0,7,0,0,0,14,0,0,0,36,0,9,0.1,699,52625
96,2020/06/13 05:00:00+00,1,304,3,290,0,7,0,0,0,14,0,0,0,36,0,7,0.1,710,53335
