date,Ontario
2020-04-02,113
2020-04-03,141
2020-04-04,143
2020-04-05,174
2020-04-06,187
2020-04-07,183
2020-04-08,203
2020-04-09,205
2020-04-10,218
2020-04-11,230
2020-04-12,237
2020-04-13,248
2020-04-14,265
2020-04-15,284
2020-04-16,287
2020-04-17,293
2020-04-18,298
2020-04-19,299
2020-04-20,309
2020-04-21,317
2020-04-22,316
2020-04-23,320
2020-04-24,351
2020-04-25,367
2020-04-26,383
2020-04-27,382
2020-04-28,370
2020-04-29,381
2020-04-30,402
2020-05-01,411
2020-05-02,415
2020-05-03,396
2020-05-04,396
2020-05-05,433
2020-05-06,435
2020-05-07,433
2020-05-08,437
2020-05-09,445
2020-05-10,391
2020-05-11,433
2020-05-12,445
2020-05-13,452
2020-05-14,458
2020-05-15,451
2020-05-16,458
2020-05-17,439
2020-05-18,439
2020-05-19,444
2020-05-20,453
2020-05-21,449
2020-05-22,429
2020-05-23,409
2020-05-24,395
2020-05-25,402
2020-05-26,386
2020-05-27,388
2020-05-28,389
2020-05-29,383
2020-05-30,387
2020-05-31,368
2020-06-01,359
2020-06-02,378
2020-06-03,384
2020-06-04,380
2020-06-05,364
2020-06-06,326
2020-06-07,320
2020-06-08,304
2020-06-09,285
2020-06-10,282
2020-06-11,252
2020-06-12,231
2020-06-13,222
2020-06-14,206
2020-06-15,193
2020-06-16,191
2020-06-17,175
2020-06-18,167
2020-06-19,149
2020-06-20,157
2020-06-21,146
2020-06-22,143
2020-06-23,148
2020-06-24,139
2020-06-25,132
2020-06-26,126
2020-06-27,122
2020-06-28,108
2020-06-29,111
2020-06-30,99
2020-07-01,104
2020-07-02,62
2020-07-03,62
2020-07-05,50
2020-07-06,49
2020-07-07,50
2020-07-08,48
2020-07-09,47
2020-07-10,44
2020-07-11,52
2020-07-12,45
2020-07-13,47
2020-07-14,46
2020-07-15,45
2020-07-16,45
2020-07-17,36
2020-07-18,33
2020-07-19,33
2020-07-20,34
2020-07-21,37
2020-07-22,43
2020-07-23,40
2020-07-24,34
2020-07-25,34
2020-07-26,30
2020-07-27,29
2020-07-28,32
2020-07-29,31
2020-07-30,29
2020-07-31,27
2020-08-01,27
2020-08-02,26
2020-08-03,31
2020-08-04,29
2020-08-05,24
2020-08-06,29
2020-08-07,23
2020-08-08,16
2020-08-09,24
2020-08-10,19
2020-08-11,21
2020-08-12,19
2020-08-13,16
2020-08-14,16
2020-08-15,13
2020-08-16,11
2020-08-17,7
2020-08-18,12
2020-08-19,12
2020-08-20,10
2020-08-21,13
2020-08-22,13
2020-08-23,14
2020-08-24,13
2020-08-25,15
2020-08-26,19
2020-08-27,22
2020-08-28,31
2020-08-29,23
2020-08-30,21
2020-08-31,19
2020-09-01,24
2020-09-02,20
2020-09-03,22
2020-09-04,29
2020-09-05,26
2020-09-06,27
2020-09-07,28
2020-09-08,28
2020-09-09,30
2020-09-10,28
2020-09-11,23
2020-09-12,22
2020-09-13,19
2020-09-14,22
2020-09-15,25
2020-09-16,23
2020-09-17,22
2020-09-18,25
2020-09-19,28
2020-09-20,32
2020-09-21,37
2020-09-22,44
2020-09-23,46
2020-09-24,45
2020-09-25,45
2020-09-26,44
2020-09-27,47
2020-09-28,50
2020-09-29,53
2020-09-30,49
2020-10-01,52
2020-10-02,55
2020-10-03,52
2020-10-04,49
2020-10-05,52
2020-10-06,61
2020-10-07,61
2020-10-08,68
2020-10-09,82
2020-10-10,85
2020-10-11,88
2020-10-12,81
2020-10-13,89
2020-10-14,84
2020-10-15,105
2020-10-16,107
2020-10-17,119
2020-10-18,110
2020-10-19,117
2020-10-20,125
2020-10-21,118
2020-10-22,116
2020-10-23,115
2020-10-24,127
2020-10-25,127
2020-10-26,141
2020-10-27,139
2020-10-28,129
2020-10-29,127
2020-10-30,127
2020-10-31,133
2020-11-01,135
2020-11-02,140
2020-11-03,137
2020-11-04,148
2020-11-05,155
2020-11-06,151
2020-11-07,171
2020-11-08,160
2020-11-09,158
2020-11-10,180
2020-11-11,186
2020-11-12,200
2020-11-13,213
2020-11-14,231
2020-11-15,224
2020-11-16,231
2020-11-17,246
2020-11-18,249
2020-11-19,246
2020-11-20,246
2020-11-21,237
2020-11-22,234
2020-11-23,250
2020-11-24,256
2020-11-25,250
2020-11-26,258
2020-11-27,258
2020-11-28,277
2020-11-29,274
2020-11-30,272
2020-12-01,277
2020-12-02,275
2020-12-03,273
2020-12-04,282
2020-12-05,279
2020-12-06,296
2020-12-07,316
2020-12-08,315
2020-12-09,323
2020-12-10,324
2020-12-11,322
2020-12-12,336
2020-12-13,331
2020-12-14,358
2020-12-15,383
2020-12-16,386
2020-12-17,376
2020-12-18,350
2020-12-19,361
2020-12-20,364
2020-12-21,381
2020-12-22,424
2020-12-23,423
2020-12-24,416
2020-12-25,424
2020-12-26,398
2020-12-27,444
2020-12-28,485
2020-12-29,490
2020-12-30,505
2020-12-31,502
2021-01-01,517
2021-01-02,503
2021-01-03,534
2021-01-04,542
2021-01-05,562
2021-01-06,598
2021-01-07,595
2021-01-08,592
2021-01-09,603
2021-01-10,618
2021-01-11,636
2021-01-12,700
2021-01-13,671
2021-01-14,664
2021-01-15,665
2021-01-16,647
2021-01-17,624
2021-01-18,633
2021-01-19,641
2021-01-20,639
2021-01-21,573
2021-01-22,564
2021-01-23,566
2021-01-24,548
