Date,ACT_Hsi_RSS01,ACT_Hsi_RSS02,ACT_Hsi_RSS03,ACT_Hsi_RSS04,ACT_Hsi_RSS05,ACT_Hsi_RSS06,ACT_Hsi_RSS07,ACT_Hsi_RSS08,ACT_Hsi_RSS09,ACT_Hsi_RSS10,ACT_Hsi_RSS11,ACT_Hsi_RSS12,ACT_Hsi_RSS13,ACT_Hsi_RSS14,ACT_Hsi_RSS15,ACT_Hsi_RSS16,ACT_Hsi_RSS17,ACT_Hsi_RSS18,ACT_Hsi_RSS99,ACT_Si_RSS01,ACT_Si_RSS02,ACT_Si_RSS03,ACT_Si_RSS04,ACT_Si_RSS05,ACT_Si_RSS06,ACT_Si_RSS07,ACT_Si_RSS08,ACT_Si_RSS09,ACT_Si_RSS10,ACT_Si_RSS11,ACT_Si_RSS12,ACT_Si_RSS13,ACT_Si_RSS14,ACT_Si_RSS15,ACT_Si_RSS16,ACT_Si_RSS17,ACT_Si_RSS18,ACT_Si_RSS99,ACT_Total_RSS01,ACT_Total_RSS02,ACT_Total_RSS03,ACT_Total_RSS04,ACT_Total_RSS05,ACT_Total_RSS06,ACT_Total_RSS07,ACT_Total_RSS08,ACT_Total_RSS09,ACT_Total_RSS10,ACT_Total_RSS11,ACT_Total_RSS12,ACT_Total_RSS13,ACT_Total_RSS14,ACT_Total_RSS15,ACT_Total_RSS16,ACT_Total_RSS17,ACT_Total_RSS18,ACT_Total_RSS99
2022-01-05,20,36,104,125,95,627,48,10,5,2,3,95,66,85,104,319,2,0,1746,1,9,19,16,18,94,4,1,0,0,0,11,5,11,8,10,0,0,207,21,45,123,141,113,721,52,11,5,2,3,106,71,96,112,329,2,0,1953
2022-01-04,14,34,80,111,85,569,42,8,6,3,3,81,64,79,101,278,1,0,1559,1,10,20,13,15,80,3,1,0,0,0,11,6,11,8,12,0,0,191,15,44,100,124,100,649,45,9,6,3,3,92,70,90,109,290,1,0,1750
2022-01-03,15,25,79,89,75,519,27,9,4,1,4,72,60,70,95,262,1,0,1407,0,9,15,13,14,79,3,2,0,0,0,12,5,14,8,11,0,0,185,15,34,94,102,89,598,30,11,4,1,4,84,65,84,103,273,1,0,1592
2022-01-02,17,26,67,71,62,435,32,6,3,1,4,64,54,67,91,214,1,0,1215,0,6,13,14,14,81,3,2,0,0,0,12,6,12,7,11,0,0,181,17,32,80,85,76,516,35,8,3,1,4,76,60,79,98,225,1,0,1396
2022-01-01,14,26,61,66,61,364,30,6,3,1,1,48,48,62,88,190,0,0,1069,1,5,13,10,14,64,3,3,0,0,1,13,5,12,6,12,0,0,162,15,31,74,76,75,428,33,9,3,1,2,61,53,74,94,202,0,0,1231
2021-12-31,8,20,58,63,68,357,24,8,3,1,1,46,42,54,79,176,0,0,1008,1,5,10,12,15,65,2,3,0,0,0,9,4,9,6,12,0,0,153,9,25,68,75,83,422,26,11,3,1,1,55,46,63,85,188,0,0,1161
2021-12-30,7,22,58,55,69,297,21,9,3,1,0,37,37,54,70,172,0,0,912,1,5,9,11,14,62,1,4,0,0,0,12,5,7,8,12,0,0,151,8,27,67,66,83,359,22,13,3,1,0,49,42,61,78,184,0,0,1063
2021-12-29,8,17,45,50,62,269,11,7,2,1,0,31,36,47,57,158,0,0,801,1,6,12,8,12,58,1,4,0,0,0,9,3,6,7,11,0,0,138,9,23,57,58,74,327,12,11,2,1,0,40,39,53,64,169,0,0,939
2021-12-28,4,13,32,42,55,231,11,7,2,0,0,29,36,37,46,137,0,0,682,1,3,7,9,10,59,1,2,0,0,0,7,2,5,6,10,0,0,122,5,16,39,51,65,290,12,9,2,0,0,36,38,42,52,147,0,0,804
2021-12-27,2,14,23,40,47,191,10,7,2,0,0,28,31,34,46,112,0,0,587,1,3,6,8,11,55,2,1,0,0,0,6,2,5,5,10,0,0,115,3,17,29,48,58,246,12,8,2,0,0,34,33,39,51,122,0,0,702
2021-12-26,1,8,24,35,42,170,7,8,2,0,0,21,31,29,33,94,0,0,505,1,4,6,7,11,50,2,1,0,0,0,7,2,3,5,10,0,0,109,2,12,30,42,53,220,9,9,2,0,0,28,33,32,38,104,0,0,614
2021-12-25,0,4,12,18,38,119,4,1,2,0,0,13,21,21,23,63,0,0,339,0,4,3,8,13,38,2,1,0,0,0,3,3,2,3,8,0,0,88,0,8,15,26,51,157,6,2,2,0,0,16,24,23,26,71,0,0,427
