Date,GEO,Products and product groups,VALUE
2018-01-01,Canada,All-items,131.7
2018-02-01,Canada,All-items,132.5
2018-03-01,Canada,All-items,132.9
2018-04-01,Canada,All-items,133.3
2018-05-01,Canada,All-items,133.4
2018-06-01,Canada,All-items,133.6
2018-07-01,Canada,All-items,134.3
2018-08-01,Canada,All-items,134.2
2018-09-01,Canada,All-items,133.7
2018-10-01,Canada,All-items,134.1
2018-11-01,Canada,All-items,133.5
2018-12-01,Canada,All-items,133.4
2019-01-01,Canada,All-items,133.6
2019-02-01,Canada,All-items,134.5
2019-03-01,Canada,All-items,135.4
2019-04-01,Canada,All-items,136.0
2019-05-01,Canada,All-items,136.6
2019-06-01,Canada,All-items,136.3
2019-07-01,Canada,All-items,137.0
2019-08-01,Canada,All-items,136.8
2019-09-01,Canada,All-items,136.2
2019-10-01,Canada,All-items,136.6
2019-11-01,Canada,All-items,136.4
2019-12-01,Canada,All-items,136.4
2020-01-01,Canada,All-items,136.8
2020-02-01,Canada,All-items,137.4
2020-03-01,Canada,All-items,136.6
2020-04-01,Canada,All-items,135.7
2020-05-01,Canada,All-items,136.1
2020-06-01,Canada,All-items,137.2
2020-07-01,Canada,All-items,137.2
2020-08-01,Canada,All-items,137.0
2020-09-01,Canada,All-items,136.9
2020-10-01,Canada,All-items,137.5
2020-11-01,Canada,All-items,137.7
2020-12-01,Canada,All-items,137.4
2021-01-01,Canada,All-items,138.2
2021-02-01,Canada,All-items,138.9
2021-03-01,Canada,All-items,139.6
2021-04-01,Canada,All-items,140.3
2021-05-01,Canada,All-items,141.0
2021-06-01,Canada,All-items,141.4
2021-07-01,Canada,All-items,142.3
2021-08-01,Canada,All-items,142.6
2021-09-01,Canada,All-items,142.9
2021-10-01,Canada,All-items,143.9
2021-11-01,Canada,All-items,144.2
2018-01-01,Canada,Food,144.7
2018-02-01,Canada,Food,144.7
2018-03-01,Canada,Food,144.2
2018-04-01,Canada,Food,144.8
2018-05-01,Canada,Food,144.6
2018-06-01,Canada,Food,145.6
2018-07-01,Canada,Food,146.1
2018-08-01,Canada,Food,145.9
2018-09-01,Canada,Food,144.9
2018-10-01,Canada,Food,144.6
2018-11-01,Canada,Food,146.1
2018-12-01,Canada,Food,147.5
2019-01-01,Canada,Food,148.7
2019-02-01,Canada,Food,149.3
2019-03-01,Canada,Food,149.4
2019-04-01,Canada,Food,149.0
2019-05-01,Canada,Food,149.7
2019-06-01,Canada,Food,150.7
2019-07-01,Canada,Food,151.6
2019-08-01,Canada,Food,151.1
2019-09-01,Canada,Food,150.2
2019-10-01,Canada,Food,149.9
2019-11-01,Canada,Food,151.1
2019-12-01,Canada,Food,151.9
2020-01-01,Canada,Food,153.5
2020-02-01,Canada,Food,152.9
2020-03-01,Canada,Food,152.8
2020-04-01,Canada,Food,154.0
2020-05-01,Canada,Food,154.3
2020-06-01,Canada,Food,154.8
2020-07-01,Canada,Food,155.0
2020-08-01,Canada,Food,153.8
2020-09-01,Canada,Food,152.6
2020-10-01,Canada,Food,153.3
2020-11-01,Canada,Food,153.9
2020-12-01,Canada,Food,153.6
2021-01-01,Canada,Food,155.0
2021-02-01,Canada,Food,155.6
2021-03-01,Canada,Food,155.5
2021-04-01,Canada,Food,155.4
2021-05-01,Canada,Food,156.6
2021-06-01,Canada,Food,156.8
2021-07-01,Canada,Food,157.6
2021-08-01,Canada,Food,158.0
2021-09-01,Canada,Food,158.5
2021-10-01,Canada,Food,159.2
2021-11-01,Canada,Food,160.7
2018-01-01,Canada,Shelter,139.7
2018-02-01,Canada,Shelter,140.0
2018-03-01,Canada,Shelter,140.0
2018-04-01,Canada,Shelter,140.3
2018-05-01,Canada,Shelter,140.4
2018-06-01,Canada,Shelter,140.5
2018-07-01,Canada,Shelter,141.0
2018-08-01,Canada,Shelter,141.2
2018-09-01,Canada,Shelter,141.5
2018-10-01,Canada,Shelter,142.0
2018-11-01,Canada,Shelter,142.3
2018-12-01,Canada,Shelter,142.3
2019-01-01,Canada,Shelter,143.0
2019-02-01,Canada,Shelter,143.4
2019-03-01,Canada,Shelter,143.8
2019-04-01,Canada,Shelter,144.1
2019-05-01,Canada,Shelter,144.2
2019-06-01,Canada,Shelter,144.0
2019-07-01,Canada,Shelter,144.3
2019-08-01,Canada,Shelter,144.6
2019-09-01,Canada,Shelter,144.8
2019-10-01,Canada,Shelter,145.7
2019-11-01,Canada,Shelter,145.9
2019-12-01,Canada,Shelter,146.3
2020-01-01,Canada,Shelter,146.4
2020-02-01,Canada,Shelter,146.7
2020-03-01,Canada,Shelter,146.5
2020-04-01,Canada,Shelter,146.0
2020-05-01,Canada,Shelter,145.6
2020-06-01,Canada,Shelter,146.4
2020-07-01,Canada,Shelter,146.4
2020-08-01,Canada,Shelter,146.8
2020-09-01,Canada,Shelter,147.3
2020-10-01,Canada,Shelter,148.3
2020-11-01,Canada,Shelter,148.7
2020-12-01,Canada,Shelter,148.7
2021-01-01,Canada,Shelter,148.4
2021-02-01,Canada,Shelter,148.8
2021-03-01,Canada,Shelter,150.0
2021-04-01,Canada,Shelter,150.7
2021-05-01,Canada,Shelter,151.7
2021-06-01,Canada,Shelter,152.8
2021-07-01,Canada,Shelter,153.5
2021-08-01,Canada,Shelter,153.9
2021-09-01,Canada,Shelter,154.4
2021-10-01,Canada,Shelter,155.4
2021-11-01,Canada,Shelter,155.9
2018-01-01,Canada,"Household operations, furnishings and equipment",122.4
2018-02-01,Canada,"Household operations, furnishings and equipment",123.4
2018-03-01,Canada,"Household operations, furnishings and equipment",122.9
2018-04-01,Canada,"Household operations, furnishings and equipment",123.9
2018-05-01,Canada,"Household operations, furnishings and equipment",122.8
2018-06-01,Canada,"Household operations, furnishings and equipment",122.6
2018-07-01,Canada,"Household operations, furnishings and equipment",123.1
2018-08-01,Canada,"Household operations, furnishings and equipment",122.9
2018-09-01,Canada,"Household operations, furnishings and equipment",123.0
2018-10-01,Canada,"Household operations, furnishings and equipment",124.0
2018-11-01,Canada,"Household operations, furnishings and equipment",123.8
2018-12-01,Canada,"Household operations, furnishings and equipment",123.4
2019-01-01,Canada,"Household operations, furnishings and equipment",123.3
2019-02-01,Canada,"Household operations, furnishings and equipment",123.6
2019-03-01,Canada,"Household operations, furnishings and equipment",123.5
2019-04-01,Canada,"Household operations, furnishings and equipment",123.8
2019-05-01,Canada,"Household operations, furnishings and equipment",123.9
2019-06-01,Canada,"Household operations, furnishings and equipment",124.1
2019-07-01,Canada,"Household operations, furnishings and equipment",123.5
2019-08-01,Canada,"Household operations, furnishings and equipment",123.5
2019-09-01,Canada,"Household operations, furnishings and equipment",123.6
2019-10-01,Canada,"Household operations, furnishings and equipment",123.8
2019-11-01,Canada,"Household operations, furnishings and equipment",123.6
2019-12-01,Canada,"Household operations, furnishings and equipment",122.9
2020-01-01,Canada,"Household operations, furnishings and equipment",122.6
2020-02-01,Canada,"Household operations, furnishings and equipment",123.3
2020-03-01,Canada,"Household operations, furnishings and equipment",123.7
2020-04-01,Canada,"Household operations, furnishings and equipment",124.2
2020-05-01,Canada,"Household operations, furnishings and equipment",123.6
2020-06-01,Canada,"Household operations, furnishings and equipment",123.7
2020-07-01,Canada,"Household operations, furnishings and equipment",124.2
2020-08-01,Canada,"Household operations, furnishings and equipment",124.0
2020-09-01,Canada,"Household operations, furnishings and equipment",124.0
2020-10-01,Canada,"Household operations, furnishings and equipment",124.3
2020-11-01,Canada,"Household operations, furnishings and equipment",124.3
2020-12-01,Canada,"Household operations, furnishings and equipment",123.6
2021-01-01,Canada,"Household operations, furnishings and equipment",124.3
2021-02-01,Canada,"Household operations, furnishings and equipment",124.3
2021-03-01,Canada,"Household operations, furnishings and equipment",123.5
2021-04-01,Canada,"Household operations, furnishings and equipment",124.7
2021-05-01,Canada,"Household operations, furnishings and equipment",124.7
2021-06-01,Canada,"Household operations, furnishings and equipment",124.8
2021-07-01,Canada,"Household operations, furnishings and equipment",125.6
2021-08-01,Canada,"Household operations, furnishings and equipment",125.8
