"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","110696","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","111673","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","112128","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","115157","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","116594","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","111886","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","110117","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food [C111]","Dollars","81","millions","6","v61988959","1.1.1.2","98296","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food [C111]","Dollars","81","millions","6","v61988959","1.1.1.2","99264","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food [C111]","Dollars","81","millions","6","v61988959","1.1.1.2","99080","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food [C111]","Dollars","81","millions","6","v61988959","1.1.1.2","102096","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food [C111]","Dollars","81","millions","6","v61988959","1.1.1.2","103424","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food [C111]","Dollars","81","millions","6","v61988959","1.1.1.2","99040","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food [C111]","Dollars","81","millions","6","v61988959","1.1.1.2","97044","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-alcoholic beverages [C112]","Dollars","81","millions","6","v61988960","1.1.1.3","12404","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-alcoholic beverages [C112]","Dollars","81","millions","6","v61988960","1.1.1.3","12404","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-alcoholic beverages [C112]","Dollars","81","millions","6","v61988960","1.1.1.3","13104","","","","0"
