date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2017-01-01,60,False,53,47,30,58,63,58,24,18,36,10,0,0,66
2017-01-08,50,False,46,53,49,37,54,44,8,21,14,5,0,0,0
2017-01-15,56,False,56,66,50,37,56,39,11,26,7,11,0,28,68
2017-01-22,50,False,44,42,35,27,57,37,18,15,17,15,0,0,66
2017-01-29,53,False,44,48,51,40,58,40,49,14,14,11,49,0,0
2017-02-05,53,False,59,40,50,45,55,43,29,20,32,10,24,0,61
2017-02-12,68,False,62,68,55,46,70,54,18,28,47,14,24,56,61
2017-02-19,63,False,60,53,74,42,70,52,20,40,27,17,25,0,61
2017-02-26,56,False,53,53,63,45,54,45,18,41,29,20,27,0,0
2017-03-05,52,False,53,43,34,35,57,45,21,30,53,5,0,0,0
2017-03-12,57,False,51,54,48,41,60,47,15,17,25,5,0,27,0
2017-03-19,56,False,54,55,41,51,57,45,15,35,13,22,50,0,0
2017-03-26,55,False,57,53,37,42,55,39,22,29,19,21,0,0,0
2017-04-02,56,False,54,49,49,41,58,47,11,29,23,10,23,0,0
2017-04-09,55,False,57,58,57,44,56,39,12,29,38,21,0,60,0
2017-04-16,51,False,36,47,68,32,60,44,24,23,40,5,0,0,0
2017-04-23,57,False,57,48,37,38,59,48,8,21,48,11,26,0,0
2017-04-30,60,False,59,61,41,59,60,43,20,39,28,16,0,0,0
2017-05-07,65,False,54,55,32,49,67,45,16,33,17,27,25,28,0
2017-05-14,60,False,59,61,49,31,64,53,17,49,46,17,29,0,0
2017-05-21,62,False,56,69,49,33,67,58,4,31,26,6,27,31,0
2017-05-28,62,False,59,52,37,52,60,56,34,31,33,29,0,0,0
2017-06-04,59,False,49,54,61,32,60,54,36,21,41,11,0,29,0
2017-06-11,67,False,52,56,49,55,72,49,54,41,52,17,0,31,0
2017-06-18,68,False,57,65,56,64,71,59,38,46,62,17,0,0,78
2017-06-25,64,False,62,63,60,27,69,56,27,46,54,39,0,0,0
2017-07-02,77,False,70,60,56,55,77,76,36,47,56,71,0,0,0
2017-07-09,73,False,61,61,39,36,78,66,36,49,83,26,24,0,0
2017-07-16,80,False,72,68,71,50,84,70,62,60,38,33,0,0,0
2017-07-23,82,False,68,68,41,56,83,77,72,53,59,56,0,0,100
2017-07-30,79,False,69,70,61,60,79,74,33,64,39,49,53,33,0
2017-08-06,88,False,70,80,58,53,81,75,34,56,52,41,0,0,0
2017-08-13,76,False,74,72,57,58,75,78,53,68,53,38,58,31,0
2017-08-20,79,False,78,76,71,68,75,70,54,53,63,48,0,31,0
2017-08-27,80,False,68,73,46,61,82,66,48,47,55,26,82,0,0
2017-09-03,67,False,63,61,22,31,72,60,16,50,61,20,27,63,0
2017-09-10,62,False,63,55,43,39,64,49,27,43,52,51,0,0,99
2017-09-17,64,False,59,61,65,60,64,51,51,51,40,30,25,29,0
2017-09-24,65,False,61,55,74,39,65,51,42,34,18,30,50,30,0
2017-10-01,62,False,47,56,47,34,64,56,12,24,24,21,28,0,0
2017-10-08,69,False,53,70,55,45,71,58,39,35,27,16,0,0,0
2017-10-15,65,False,63,60,47,35,66,66,12,32,44,5,0,0,0
2017-10-22,62,False,59,49,31,45,69,50,16,24,14,22,0,0,0
2017-10-29,60,False,49,51,43,56,61,45,8,36,34,20,0,0,82
2017-11-05,59,False,45,57,63,42,67,45,11,46,20,26,25,29,0
2017-11-12,58,False,61,59,42,50,60,47,19,32,30,0,0,29,0
2017-11-19,56,False,50,54,55,46,59,37,29,30,23,0,0,26,0
2017-11-26,54,False,50,49,40,29,60,43,11,28,26,10,24,0,0
2017-12-03,52,False,48,54,37,48,60,39,38,38,23,5,24,27,0
2017-12-10,53,False,52,52,50,30,52,45,12,34,39,5,0,55,64
2017-12-17,57,False,51,49,36,27,63,49,38,29,17,11,26,32,0
2017-12-24,79,False,69,63,40,42,78,59,37,29,25,16,0,0,0
2017-12-31,67,False,57,59,54,48,65,52,15,23,40,19,0,0,0
2018-01-07,55,False,52,53,48,33,59,37,14,41,25,20,23,52,0
2018-01-14,62,False,57,66,31,35,64,36,17,25,24,20,51,0,0
2018-01-21,64,False,53,68,37,33,61,44,17,30,21,5,0,25,0
2018-01-28,60,False,53,53,51,54,62,46,24,30,27,5,0,0,0
2018-02-04,58,False,51,50,50,51,54,40,25,26,24,15,23,0,0
2018-02-11,65,False,64,62,49,54,75,54,15,37,19,30,46,26,0
2018-02-18,62,False,58,45,55,48,66,42,15,29,34,14,25,0,0
2018-02-25,57,False,52,52,76,38,59,44,39,50,49,24,71,0,0
2018-03-04,63,False,60,62,40,45,61,47,28,30,35,9,0,29,0
2018-03-11,66,False,63,54,67,50,65,44,36,46,39,5,23,27,82
2018-03-18,62,False,58,61,57,48,66,52,32,18,37,14,25,56,0
2018-03-25,67,False,66,66,68,57,66,55,23,33,36,16,0,0,0
2018-04-01,58,False,41,56,43,59,61,43,14,35,31,26,24,0,0
2018-04-08,59,False,61,59,35,39,54,49,14,29,43,15,0,0,86
2018-04-15,58,False,58,57,49,33,63,39,22,36,34,20,25,0,0
2018-04-22,62,False,53,62,39,51,65,45,46,44,26,5,23,28,0
2018-04-29,63,False,56,63,39,41,66,56,11,31,38,20,0,27,0
2018-05-06,68,False,49,66,52,37,76,56,26,54,40,16,0,28,0
2018-05-13,67,False,62,68,46,48,65,51,32,39,33,16,0,0,0
2018-05-20,66,False,58,57,38,51,68,56,34,37,46,31,52,0,0
2018-05-27,67,False,55,60,35,34,66,68,21,60,59,11,0,0,0
2018-06-03,64,False,60,66,43,44,63,55,46,53,45,15,24,27,0
2018-06-10,67,False,65,61,52,46,70,60,54,46,26,25,24,26,0
2018-06-17,68,False,54,61,75,46,64,56,33,34,48,21,24,61,0
2018-06-24,69,False,66,67,49,39,66,70,53,55,30,20,74,54,0
2018-07-01,88,False,72,71,57,56,81,100,49,54,37,10,68,83,0
2018-07-08,84,False,69,76,85,65,80,76,42,22,49,66,45,0,0
2018-07-15,83,False,71,77,100,70,87,74,46,72,56,24,50,0,0
2018-07-22,85,False,69,79,76,43,78,84,47,45,81,47,27,63,0
2018-07-29,87,False,79,83,68,58,86,81,51,73,78,22,73,28,0
2018-08-05,97,False,72,85,94,57,94,95,59,85,67,43,24,0,93
2018-08-12,87,False,68,84,63,81,83,81,40,80,45,65,52,0,0
2018-08-19,86,False,72,76,61,48,85,87,73,96,65,63,0,30,0
2018-08-26,80,False,68,70,67,48,80,69,57,60,92,30,0,31,0
2018-09-02,76,False,63,69,54,49,70,68,39,63,67,25,25,0,0
2018-09-09,67,False,63,68,62,53,72,59,50,49,46,20,24,0,0
2018-09-16,72,False,60,63,51,46,72,52,22,42,45,24,0,30,0
2018-09-23,66,False,57,62,46,38,69,58,31,46,49,30,27,27,0
2018-09-30,65,False,59,49,58,41,69,53,38,54,39,21,28,0,73
2018-10-07,66,False,53,62,75,55,77,61,19,52,30,26,28,0,0
2018-10-14,68,False,58,61,46,34,67,48,15,45,59,15,0,28,0
2018-10-21,65,False,63,54,36,39,66,53,33,33,33,20,27,0,0
2018-10-28,61,False,55,53,59,44,66,47,31,26,33,10,56,0,0
2018-11-04,67,False,61,61,54,44,70,47,22,34,32,19,0,28,0
2018-11-11,65,False,59,61,53,47,67,47,22,25,38,10,28,0,0
2018-11-18,62,False,60,53,40,40,61,51,22,37,25,10,0,0,0
2018-11-25,59,False,52,49,37,53,63,47,26,20,38,0,0,0,0
2018-12-02,59,False,50,56,47,39,67,47,19,49,23,0,0,28,0
2018-12-09,60,False,63,49,56,60,69,46,4,29,17,0,0,0,0
2018-12-16,60,False,59,52,43,46,63,41,21,22,13,27,0,0,0
2018-12-23,86,False,80,73,62,61,93,72,9,26,33,11,95,70,0
2018-12-30,82,False,68,66,88,29,89,60,31,25,27,10,0,0,0
2019-01-06,59,False,51,57,58,42,62,53,25,32,37,33,0,27,0
2019-01-13,60,False,64,64,40,39,63,39,18,32,28,10,0,27,0
2019-01-20,60,False,52,63,40,54,60,34,29,37,32,19,26,0,0
2019-01-27,55,False,61,63,55,42,57,55,29,35,16,5,0,0,0
2019-02-03,59,False,58,52,51,38,67,42,18,18,33,19,26,29,0
2019-02-10,68,False,67,46,58,41,72,52,18,41,49,10,0,26,57
2019-02-17,71,False,67,69,67,61,74,49,32,34,60,5,26,0,0
2019-02-24,60,False,53,59,46,42,65,45,11,31,46,9,0,0,0
2019-03-03,62,False,60,56,53,50,66,56,11,44,33,10,0,0,0
2019-03-10,68,False,61,59,39,41,71,45,30,31,19,5,30,30,0
2019-03-17,63,False,71,63,59,40,66,46,30,42,56,27,27,0,0
2019-03-24,66,False,58,60,67,54,70,47,19,36,25,20,0,82,0
2019-03-31,62,False,62,58,57,33,67,45,11,39,56,10,0,0,51
2019-04-07,58,False,53,55,68,42,64,43,19,30,22,10,0,0,0
2019-04-14,67,False,56,70,50,51,69,59,19,51,38,15,51,28,0
2019-04-21,63,False,58,62,45,49,64,37,20,37,37,15,54,0,0
2019-04-28,67,False,61,57,64,65,73,45,23,27,39,10,0,29,0
2019-05-05,71,False,69,76,52,59,70,61,47,31,50,5,49,0,68
2019-05-12,69,False,60,62,37,51,80,57,16,57,32,15,0,27,0
2019-05-19,75,False,69,75,55,54,75,59,23,31,49,5,0,0,0
2019-05-26,66,False,58,58,53,52,68,55,8,53,31,31,25,0,67
2019-06-02,71,False,57,66,51,29,72,56,23,57,35,20,22,26,0
2019-06-09,68,False,59,69,57,51,68,60,33,40,64,44,24,0,0
2019-06-16,74,False,68,60,44,72,72,58,31,53,59,40,0,0,0
2019-06-23,73,False,68,70,50,53,73,72,65,58,58,58,50,54,0
2019-06-30,85,False,100,72,68,67,87,76,35,56,65,18,0,0,0
2019-07-07,84,False,68,81,85,37,82,68,80,64,64,49,22,62,0
2019-07-14,86,False,77,79,57,44,81,67,75,77,45,32,50,0,0
2019-07-21,89,False,72,79,79,65,84,71,36,76,96,65,75,31,0
2019-07-28,95,False,76,85,41,67,92,86,73,78,47,32,27,0,0
2019-08-04,91,False,82,95,87,57,91,89,64,74,69,100,0,0,0
2019-08-11,88,False,77,79,69,74,90,78,64,75,89,49,0,0,0
2019-08-18,90,False,82,73,44,51,87,59,71,65,63,43,0,0,0
2019-08-25,84,False,86,70,86,55,86,78,32,67,96,38,0,29,0
2019-09-01,74,False,66,62,47,58,76,65,30,34,27,33,46,61,0
2019-09-08,64,False,62,61,59,37,66,46,35,33,36,14,22,0,0
2019-09-15,71,False,67,68,26,50,68,59,25,45,43,18,45,0,0
2019-09-22,66,False,61,63,47,32,71,49,25,44,66,9,25,52,0
2019-09-29,70,False,67,58,51,57,67,51,36,40,42,28,88,0,0
2019-10-06,63,False,55,66,54,46,61,46,26,53,34,36,0,0,0
2019-10-13,65,False,63,55,37,28,75,53,36,43,31,9,24,57,0
2019-10-20,63,False,58,52,44,48,66,52,28,29,41,9,0,0,0
2019-10-27,56,False,52,56,36,47,57,43,22,42,27,9,0,0,0
2019-11-03,68,False,64,53,56,60,71,47,18,36,56,27,0,29,67
2019-11-10,65,False,60,57,73,63,65,51,14,41,50,17,0,0,0
2019-11-17,60,False,63,55,61,40,65,49,28,33,26,14,0,0,0
2019-11-24,57,False,54,60,39,37,61,52,17,27,28,22,24,0,0
2019-12-01,56,False,52,53,58,47,59,47,14,32,26,5,0,29,0
2019-12-08,59,False,54,49,51,55,63,40,23,45,31,24,0,0,0
2019-12-15,57,False,52,60,46,40,65,41,23,25,33,0,48,0,0
2019-12-22,79,False,71,78,59,48,84,67,24,26,38,14,0,100,0
2019-12-29,76,False,76,75,78,61,80,66,22,45,52,14,25,0,0
2020-01-05,53,False,52,48,38,39,59,43,13,29,41,4,24,0,0
2020-01-12,54,False,47,45,53,47,56,47,13,17,32,16,0,25,63
2020-01-19,63,False,58,60,62,40,65,40,21,38,45,9,0,0,0
2020-01-26,60,False,68,50,65,45,64,40,35,30,34,17,0,27,0
2020-02-02,60,False,69,56,39,36,64,47,23,51,24,13,22,0,0
2020-02-09,78,False,69,68,62,69,77,53,61,31,48,43,0,0,57
2020-02-16,72,False,70,71,48,43,75,43,17,33,41,13,0,0,0
2020-02-23,56,False,61,59,49,50,56,44,20,28,27,13,21,0,57
2020-03-01,58,False,52,50,69,45,67,45,36,35,50,4,22,50,94
2020-03-08,47,False,32,45,39,52,48,34,13,36,30,16,0,0,0
2020-03-15,44,False,37,53,54,28,44,30,27,15,19,11,43,0,0
2020-03-22,20,False,21,23,16,27,20,16,11,9,12,7,0,0,0
2020-03-29,21,False,18,14,22,8,22,13,0,13,16,3,0,21,0
2020-04-05,19,False,16,17,26,10,18,15,11,10,11,3,0,0,0
2020-04-12,21,False,17,22,10,18,20,12,8,11,20,14,0,48,0
2020-04-19,21,False,20,17,24,22,20,15,8,9,9,4,0,0,0
2020-04-26,21,False,21,18,16,10,23,18,15,6,29,11,18,0,0
2020-05-03,26,False,23,24,19,21,25,16,11,16,28,4,19,0,0
2020-05-10,30,False,39,31,25,32,27,22,6,21,42,11,19,0,0
2020-05-17,33,False,46,41,38,30,24,24,9,13,20,12,0,0,0
2020-05-24,33,False,49,38,31,33,25,25,15,22,31,4,0,50,0
2020-05-31,39,False,37,39,40,35,36,29,30,21,40,4,58,0,0
2020-06-07,44,False,46,48,47,37,39,47,15,28,19,0,0,23,59
2020-06-14,49,False,52,52,55,33,46,36,25,29,23,24,0,0,0
2020-06-21,51,False,61,52,59,36,44,45,21,33,29,17,0,0,0
2020-06-28,56,False,64,58,46,52,52,41,53,37,35,21,0,25,0
2020-07-05,53,False,50,58,30,49,49,37,24,46,34,16,0,0,0
2020-07-12,59,False,57,67,63,53,55,37,24,45,27,16,0,0,0
2020-07-19,62,False,53,72,49,55,56,45,40,51,65,9,45,0,0
2020-07-26,63,False,54,57,30,47,66,45,50,46,53,21,23,27,0
2020-08-02,61,False,70,70,53,37,57,50,47,51,65,28,43,0,0
2020-08-09,65,False,57,69,53,44,61,48,56,43,59,37,22,53,0
2020-08-16,67,False,68,63,41,53,62,50,57,48,63,33,22,0,0
2020-08-23,68,False,69,72,57,50,66,51,31,61,71,47,21,26,63
2020-08-30,64,False,62,72,56,29,66,46,37,39,50,17,21,0,0
2020-09-06,64,False,56,61,66,47,61,50,25,47,51,8,23,0,0
2020-09-13,56,False,55,57,51,35,54,35,33,40,54,8,0,77,0
2020-09-20,51,False,58,56,50,50,54,35,30,37,38,24,22,0,0
2020-09-27,53,False,54,53,39,36,49,34,20,19,30,13,0,0,0
2020-10-04,45,False,43,47,46,42,42,26,10,42,36,21,0,0,0
2020-10-11,48,False,55,48,46,43,49,23,23,40,37,19,24,0,0
2020-10-18,44,False,42,51,44,29,43,27,18,34,38,5,24,0,0
2020-10-25,42,False,35,42,26,29,44,20,25,33,28,9,0,0,0
2020-11-01,45,False,34,42,23,20,45,24,12,32,28,12,39,0,0
2020-11-08,46,False,51,46,36,23,46,24,45,30,55,0,23,0,0
2020-11-15,37,False,43,36,41,16,38,24,25,16,28,18,0,0,0
2020-11-22,33,False,35,30,44,20,33,20,24,18,17,9,0,0,0
2020-11-29,32,False,34,32,35,22,33,25,18,22,20,9,0,0,0
2020-12-06,37,False,34,36,33,26,38,24,11,30,18,17,23,0,0
2020-12-13,36,False,28,35,44,23,39,23,22,17,31,4,0,29,0
2020-12-20,40,False,27,48,42,30,34,28,29,22,28,14,0,28,0
2020-12-27,38,False,32,54,37,22,31,22,23,22,36,9,0,0,0
2021-01-03,27,False,27,36,40,14,23,20,13,15,25,0,42,78,0
2021-01-10,28,False,29,42,33,20,23,17,10,36,31,13,0,27,67
2021-01-17,29,False,46,40,51,40,22,15,23,33,14,9,0,55,58
2021-01-24,30,False,41,41,54,32,25,21,24,30,20,27,21,0,0
2021-01-31,33,False,43,47,45,18,23,16,27,31,23,9,0,0,0
2021-02-07,39,False,49,42,46,31,35,21,29,46,30,18,0,0,56
2021-02-14,47,False,57,50,71,27,43,29,6,46,41,31,22,25,0
2021-02-21,43,False,42,47,35,28,45,25,3,33,33,17,23,0,0
2021-02-28,45,False,52,45,42,27,41,28,23,28,39,12,0,0,0
2021-03-07,45,False,45,46,53,18,51,26,0,21,18,13,0,25,0
2021-03-14,48,False,60,48,30,38,48,30,16,45,36,16,22,24,0
2021-03-21,44,False,47,55,33,30,45,26,14,29,33,17,0,0,59
2021-03-28,46,False,58,53,43,39,43,31,32,34,33,42,49,0,0
2021-04-04,34,False,47,41,43,28,27,21,10,24,33,4,0,26,0
2021-04-11,33,False,35,40,34,20,25,17,17,32,23,9,0,0,0
2021-04-18,31,False,36,32,55,28,25,17,17,36,44,12,0,54,0
2021-04-25,30,False,35,36,21,22,26,20,18,18,29,13,22,0,0
2021-05-02,30,False,31,43,56,41,27,19,18,13,27,17,0,23,0
2021-05-09,32,False,28,43,41,17,26,29,14,19,43,33,0,0,0
2021-05-16,35,False,27,46,64,28,27,28,26,14,26,4,45,25,0
2021-05-23,43,False,35,63,50,19,30,51,17,20,43,23,23,26,0
2021-05-30,46,False,47,48,43,24,33,65,18,36,47,9,0,0,0
2021-06-06,57,False,53,59,38,16,53,52,25,31,48,9,23,0,56
2021-06-13,68,False,72,62,62,15,66,54,43,39,55,18,0,55,0
2021-06-20,68,False,54,69,46,34,66,64,29,41,52,14,0,0,0
